Month,Rep_COunt,Transaction_Number,Product_COde,Product_Description,COst_Price,Sale_Price,Profit,COmmission,Attrition,Name,Gender,Education,Sale_Location
Jan,1,"1,001",9822,Pool COver,58.3,98.4,40.1,8.02,No,Barr Faughny,Male,Bachelor's Degree,NM
Jan,1,"1,002",2877,Net,11.4,16.3,4.9,0.49,No,Dennison Crosswaite,Female,Diploma,CA
Jan,1,"1,003",2499,8 ft Hose,6.2,9.2,3,0.3,No,Gunar COckshoot,Male,High School Diploma,AZ
Jan,1,"1,004",8722,Water Pump,344,502,158,31.6,No,Wilone O'Kielt,Female,Bachelor's Degree,AZ
Jan,1,"1,005",1109,Chlorine Test Kit,3,8,5,0.5,No,Gigi Bohling,Male,Master's Degree,AZ
Jan,1,"1,006",9822,Pool COver,58.3,98.4,,8.02,No,Curtice Advani,Female,Bachelor's Degree,AZ
Jan,1,"1,007",1109,Chlorine Test Kit,3,8,5,0.5,No,Kaine Padly,Male,High School Diploma,AZ
Jan,1,"1,008",2877,Net,11.4,16.3,4.9,0.49,Yes,Ches Bonnell,Female,Diploma,NM
Jan,1,"1,009",1109,Chlorine Test Kit,3,8,5,0.5,Yes,Andria Kimpton,Male,Bachelor's Degree,AZ
Jan,1,"1,010",2877,Net,11.4,16.3,4.9,0.49,Yes,Brien Boise,Female,Master's Degree,CO
Jan,1,"1,011",2877,Net,,,4.9,0.49,Yes,Husein Augar,Male,High School Diploma,AZ
Jan,1,"1,012",4421,Skimmer,45,87,42,8.4,Yes,Karlen McCaffrey,Female,Diploma,NM
Jan,1,"1,013",9212,1 Gal Muratic Acid,4,7,3,0.3,Yes,Jan Morforth,Male,Bachelor's Degree,CO
Jan,1,"1,014",8722,Water Pump,344,502,,31.6,Yes,Dotty Strutley,Female,Master's Degree,CO
Jan,1,"1,015",2877,Net,11.4,16.3,4.9,0.49,Yes,Kelci Walkden,Male,Bachelor's Degree,AZ
Jan,1,"1,016",2499,8 ft Hose,6.2,9.2,3,0.3,No,Marney O'Breen,Female,High School Diploma,CA
Feb,1,"1,017",2242,AutoVac,60,,64,12.8,No,Rafaelita Blaksland,Female,Diploma,NM
Feb,1,"1,018",1109,Chlorine Test Kit,3,8,5,0.5,No,Madelene UpCOtt,Male,Bachelor's Degree,CA
Feb,1,"1,019",2499,8 ft Hose,6.2,9.2,3,0.3,No,Beverie Moffet,Female,Master's Degree,CO
Feb,1,"1,020",2499,8 ft Hose,,9.2,3,0.3,No,Oby Sorrel,Male,High School Diploma,NV
Feb,1,"1,021",1109,Chlorine Test Kit,3,8,5,0.5,Yes,Mallorie Waber,Female,Diploma,CO
Feb,1,"1,022",2877,Net,11.4,16.3,4.9,0.49,No,Jehu Rudeforth,Male,Bachelor's Degree,UT
Feb,1,"1,023",1109,Chlorine Test Kit,3,8,5,0.5,No,Van Tuxwell,Female,Master's Degree,NM
Feb,1,"1,024",9212,1 Gal Muratic Acid,4,7,3,0.3,No,Roddy Speechley,Male,Bachelor's Degree,UT
Feb,1,"1,025",2877,Net,11.4,16.3,4.9,0.49,No,Camilla Castle,Female,High School Diploma,NV
Feb,1,"1,026",6119,Algea Killer 8 oz,9,14,5,0.5,No,Janene Hairsine,Male,Diploma,NM
Feb,1,"1,027",6119,Algea Killer 8 oz,9,14,5,0.5,No,Niall Selesnick,Female,Bachelor's Degree,NV
Feb,1,"1,028",8722,Water Pump,344,502,158,31.6,No,Ebonee Roxburgh,Male,Master's Degree,NV
Feb,1,"1,029",2499,8 ft Hose,6.2,9.2,,0.3,Yes,Zach Polon,Female,High School Diploma,AZ
Feb,1,"1,030",4421,Skimmer,45,87,42,8.4,Yes,Orton Livick,Male,Diploma,NV
Feb,1,"1,031",1109,Chlorine Test Kit,3,8,5,0.5,Yes,Gray Seamon,Female,Bachelor's Degree,CA
Feb,1,"1,032",2877,Net,11.4,16.3,4.9,0.49,Yes,Benny Karolovsky,Male,Master's Degree,AZ
Feb,1,"1,033",9822,Pool COver,58.3,98.4,40.1,8.02,Yes,Dyna Doucette,Female,High School Diploma,CA
Feb,1,"1,034",2877,Net,11.4,16.3,4.9,0.49,Yes,Erin Androsik,Male,Diploma,CO
Mar,1,"1,035",2499,8 ft Hose,6.2,9.2,3,0.3,Yes,Madge McCloughen,Female,Bachelor's Degree,CA
